ranking,flight_date,airline_code,airline_name,total_flights
17,2010-01-06,HA,Hawaiian Airlines Inc.,9
18,2010-01-06,F9,Frontier Airlines Inc.,8
1,2010-01-07,WN,Southwest Airlines Co.,127
2,2010-01-07,DL,Delta Air Lines Inc.,73
3,2010-01-07,OO,SkyWest Airlines Inc.,68
4,2010-01-07,AA,American Airlines Inc.,64
5,2010-01-07,US,US Airways Inc.,46
6,2010-01-07,MQ,Envoy Air,46
7,2010-01-07,XE,ExpressJet Airlines Inc. (1),40
8,2010-01-07,EV,ExpressJet Airlines Inc.,32
9,2010-01-07,UA,United Air Lines Inc.,31
10,2010-01-07,9E,Endeavor Air Inc.,29
11,2010-01-07,CO,Continental Air Lines Inc.,27
12,2010-01-07,FL,AirTran Airways Corporation,26
13,2010-01-07,YV,Mesa Airlines Inc.,26
14,2010-01-07,B6,JetBlue Airways,21
15,2010-01-07,OH,Comair Inc.,16
16,2010-01-07,AS,Alaska Airlines Inc.,14
17,2010-01-07,F9,Frontier Airlines Inc.,9
18,2010-01-07,HA,Hawaiian Airlines Inc.,6
1,2010-01-08,WN,Southwest Airlines Co.,127
2,2010-01-08,DL,Delta Air Lines Inc.,80
3,2010-01-08,AA,American Airlines Inc.,65
4,2010-01-08,OO,SkyWest Airlines Inc.,61
5,2010-01-08,MQ,Envoy Air,48
6,2010-01-08,US,US Airways Inc.,47
7,2010-01-08,UA,United Air Lines Inc.,44
8,2010-01-08,XE,ExpressJet Airlines Inc. (1),39
9,2010-01-08,EV,ExpressJet Airlines Inc.,35
10,2010-01-08,9E,Endeavor Air Inc.,33
11,2010-01-08,CO,Continental Air Lines Inc.,28
12,2010-01-08,FL,AirTran Airways Corporation,27
13,2010-01-08,B6,JetBlue Airways,22
14,2010-01-08,YV,Mesa Airlines Inc.,20
15,2010-01-08,OH,Comair Inc.,15
16,2010-01-08,AS,Alaska Airlines Inc.,14
17,2010-01-08,F9,Frontier Airlines Inc.,9
18,2010-01-08,HA,Hawaiian Airlines Inc.,6
1,2010-01-09,WN,Southwest Airlines Co.,96
2,2010-01-09,DL,Delta Air Lines Inc.,66
3,2010-01-09,AA,American Airlines Inc.,53
4,2010-01-09,OO,SkyWest Airlines Inc.,50
5,2010-01-09,MQ,Envoy Air,41
6,2010-01-09,UA,United Air Lines Inc.,39
7,2010-01-09,US,US Airways Inc.,36
8,2010-01-09,EV,ExpressJet Airlines Inc.,29
